dt_referencia;no_produto;no_indicador;vr_real
"2010-01-20";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-20";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-20";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-20";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.25
"2010-01-20";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.7
"2010-01-20";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-20";"soja";"Soja industrial tipo 1 sc 60 Kg";36.92
"2010-01-20";"trigo";"Trigo pão PH 78 sc 60 Kg";23.76
"2010-01-20";"boi";"Boi em pé arroba";72.57
"2010-01-20";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.6
"2010-01-20";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-20";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-20";"vaca";"Vaca em pé (padrão corte) arroba";66.83
"2010-01-20";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.86
"2010-01-20";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-21";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-21";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-21";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-21";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.23
"2010-01-21";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.82
"2010-01-21";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.83
"2010-01-21";"soja";"Soja industrial tipo 1 sc 60 Kg";36.56
"2010-01-21";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-21";"boi";"Boi em pé arroba";72.53
"2010-01-21";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-21";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-21";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-21";"vaca";"Vaca em pé (padrão corte) arroba";66.57
"2010-01-21";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.06
"2010-01-21";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-22";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-22";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-22";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-22";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.23
"2010-01-22";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.82
"2010-01-22";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.84
"2010-01-22";"soja";"Soja industrial tipo 1 sc 60 Kg";36.72
"2010-01-22";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-22";"boi";"Boi em pé arroba";72.49
"2010-01-22";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-22";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-22";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-22";"vaca";"Vaca em pé (padrão corte) arroba";66.38
"2010-01-22";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.06
"2010-01-22";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-25";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-25";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-25";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-25";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.94
"2010-01-25";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.79
"2010-01-25";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-25";"soja";"Soja industrial tipo 1 sc 60 Kg";36.31
"2010-01-25";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-25";"boi";"Boi em pé arroba";72.53
"2010-01-25";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-25";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-25";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-25";"vaca";"Vaca em pé (padrão corte) arroba";66.25
"2010-01-25";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
