dt_referencia;no_produto;no_indicador;vr_real
"2010-04-12";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";75.18
"2010-04-12";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.11
"2010-04-12";"soja";"Soja industrial tipo 1 sc 60 Kg";30.63
"2010-04-12";"trigo";"Trigo pão PH 78 sc 60 Kg";23.67
"2010-04-12";"boi";"Boi em pé arroba";76.29
"2010-04-12";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.5
"2010-04-12";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-12";"suíno";"Suíno em pé tipo carne não integrado kg";2.12
"2010-04-12";"vaca";"Vaca em pé (padrão corte) arroba";70.14
"2010-04-12";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-12";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-13";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-13";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.9
"2010-04-13";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-13";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";96.32
"2010-04-13";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";75.85
"2010-04-13";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.13
"2010-04-13";"soja";"Soja industrial tipo 1 sc 60 Kg";30.63
"2010-04-13";"trigo";"Trigo pão PH 78 sc 60 Kg";23.45
"2010-04-13";"boi";"Boi em pé arroba";76.4
"2010-04-13";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.49
"2010-04-13";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-13";"suíno";"Suíno em pé tipo carne não integrado kg";2.13
"2010-04-13";"vaca";"Vaca em pé (padrão corte) arroba";70.16
"2010-04-13";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.54
"2010-04-13";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-14";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-14";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";35.61
"2010-04-14";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-04-14";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";97.87
"2010-04-14";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";75.34
"2010-04-14";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.84
"2010-04-14";"soja";"Soja industrial tipo 1 sc 60 Kg";30.95
"2010-04-14";"trigo";"Trigo pão PH 78 sc 60 Kg";23.45
"2010-04-14";"boi";"Boi em pé arroba";76.36
"2010-04-14";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.49
"2010-04-14";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-14";"suíno";"Suíno em pé tipo carne não integrado kg";2.14
"2010-04-14";"vaca";"Vaca em pé (padrão corte) arroba";70.13
"2010-04-14";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";222.51
"2010-04-14";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-04-15";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-04-15";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";35.61
"2010-04-15";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";37.18
"2010-04-15";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";102.05
"2010-04-15";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";74.41
"2010-04-15";"milho";"Milho amarelo tipo 1 sc 60 Kg";13.79
"2010-04-15";"soja";"Soja industrial tipo 1 sc 60 Kg";30.86
"2010-04-15";"trigo";"Trigo pão PH 78 sc 60 Kg";23.45
"2010-04-15";"boi";"Boi em pé arroba";76.46
"2010-04-15";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.49
"2010-04-15";"erva-mate";"Erva-mate folha em barranco arroba";6.06
"2010-04-15";"suíno";"Suíno em pé tipo carne não integrado kg";2.14
"2010-04-15";"vaca";"Vaca em pé (padrão corte) arroba";69.91
"2010-04-15";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";222.51
"2010-04-15";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
